argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
8.27;10.70;81.03;1.48;0.3321;0.1218;1.91;257.00;13.42;26.57;1.2800;0.6400;-0.6400;0;0.4566
21.15;21.88;56.97;1.52;0.1555;0.3078;2.24;271.00;4.24;135.00;-1.2800;-0.4800;0.8000;0;0.4313
12.64;17.41;69.95;1.56;0.1297;0.2622;2.23;246.00;7.62;293.20;-0.6400;-0.6400;0.0000;0;0.3464
9.66;12.37;77.97;1.41;0.2757;0.1854;2.10;243.00;8.94;333.43;0.6400;0.7680;0.1280;0;0.5043
14.22;18.18;67.60;1.37;0.2999;0.1887;2.22;261.00;16.00;90.00;0.0000;0.0000;0.0000;0;0.4752
24.30;17.53;58.17;1.52;0.0562;0.3235;2.37;273.00;5.10;168.69;-0.6400;0.0000;0.6400;0;0.4765
24.38;16.36;59.27;1.55;0.1900;0.2102;2.21;269.00;5.83;210.96;-1.2800;-0.8000;0.4800;0;0.4505
20.46;18.24;61.30;1.46;0.1653;0.2920;2.17;262.00;15.62;39.81;-0.6400;-0.1969;0.4431;0;0.4965
16.30;21.02;62.68;1.23;0.2222;0.3153;2.23;279.00;3.16;198.43;1.9200;1.2800;-0.6400;0;0.6416
12.14;23.80;64.07;1.38;0.1573;0.2972;2.24;252.00;3.16;251.57;-0.6400;0.0000;0.6400;0;0.4948
19.07;28.23;52.70;1.64;0.0272;0.3294;1.96;243.00;4.24;315.00;-1.2800;-0.4800;0.8000;0;0.4218
14.18;16.89;68.93;1.48;0.2034;0.2118;2.16;243.00;0.00;-1.00;0.0000;0.0000;0.0000;0;0.4662
13.45;13.09;73.47;1.30;0.2685;0.2141;2.23;272.00;12.65;108.43;-1.2800;-0.8320;0.4480;0;0.5270
20.02;21.18;58.80;1.35;0.1433;0.3256;2.20;290.00;12.65;108.43;-1.2800;-0.4480;0.8320;0;0.5591
23.52;15.18;61.30;1.30;0.1746;0.2732;2.50;289.00;4.00;90.00;0.6400;0.0000;-0.6400;0;0.4168
13.96;12.54;73.50;1.55;0.2571;0.1787;2.12;281.00;5.10;258.69;1.9200;1.2800;-0.6400;0;0.3871
10.04;13.93;76.03;1.46;0.2408;0.1779;1.92;278.00;15.03;86.19;0.0000;0.0000;0.0000;0;0.4379
16.62;11.75;71.63;1.55;0.0085;0.3258;1.99;272.00;14.42;123.69;-1.9200;-1.3785;0.5415;0;0.4158
13.54;17.66;68.80;1.53;0.1084;0.2773;2.04;309.00;15.30;101.31;-0.6400;-0.6776;-0.0376;0;0.4117
14.68;15.72;69.60;1.56;0.1709;0.2441;2.01;314.00;7.07;8.13;0.0000;0.0000;0.0000;0;0.3632
15.35;15.25;69.40;1.46;0.1640;0.2597;2.30;305.00;6.32;341.57;1.2800;0.6400;-0.6400;0;0.3566
16.34;19.16;64.50;1.54;0.1006;0.2860;2.32;335.00;7.62;156.80;-0.6400;-0.6400;0.0000;0;0.4165
15.58;13.22;71.20;1.41;0.2420;0.2180;2.15;340.00;5.83;30.96;-1.2800;-0.8000;0.4800;0;0.4294
26.08;27.89;46.03;1.19;0.1637;0.3684;2.73;323.00;25.61;321.34;0.6400;0.2498;-0.3902;0;0.4816
23.19;11.21;65.60;1.44;0.2047;0.2232;2.51;327.00;14.00;0.00;1.9200;1.2800;-0.6400;0;0.4254
20.62;33.88;45.50;1.36;0.1191;0.3548;2.48;299.00;7.21;33.69;1.2800;0.6400;-0.6400;0;0.4542
26.27;22.80;50.93;1.41;0.0909;0.3534;2.48;333.00;4.00;180.00;-0.6400;0.0000;0.6400;0;0.4578
16.01;23.63;60.37;1.68;0.1257;0.2368;2.17;336.00;18.11;6.34;1.2800;0.5169;-0.7631;0;0.3885
8.29;16.41;75.30;1.47;0.2325;0.1981;2.01;330.00;17.89;63.43;-1.2800;-0.7680;0.5120;0;0.4250
26.31;24.66;49.03;1.14;0.1842;0.3482;3.20;350.00;22.63;135.00;0.0000;0.0000;0.0000;0;0.5272
18.75;20.68;60.57;1.42;0.1321;0.2937;2.12;372.00;16.97;45.00;1.2800;0.6400;-0.6400;0;0.4239
22.44;17.96;59.60;1.48;0.0832;0.3256;2.46;406.00;10.77;158.20;-1.2800;-0.6400;0.6400;0;0.4618
18.83;46.75;34.43;1.28;0.2707;0.2466;0.64;331.17;20.80;31.76;0.8148;0.2725;-0.5423;0;0.4810
10.61;32.52;56.87;1.48;0.3035;0.1378;0.24;331.11;20.79;329.40;-0.8362;-0.3855;0.4507;0;0.3770
20.61;26.87;52.52;1.73;0.1408;0.2079;0.38;339.91;5.09;211.62;1.8341;0.5663;-1.2678;0;0.3590
13.59;30.15;56.26;1.57;0.2185;0.1887;0.35;305.09;21.73;325.18;-0.3326;-0.0189;0.3138;0;0.4310
6.89;30.78;62.33;1.60;0.2356;0.1600;0.13;312.41;21.45;324.31;0.7202;0.2769;-0.4433;0;0.3770
8.33;29.32;62.35;1.66;0.2050;0.1675;0.22;316.27;20.75;359.86;0.1373;0.0221;-0.1152;0;0.3240
